"","Date","County_Name","County_Vax_Total","Dose_1","Dose_2","Unk_Dose","Partial_Vax","Fully_Vax","White_Total","White_Full_Pct","Black_Total","Black_Full_Pct","Native_American_Total","Asian_Total","Asian_Full_Pct","Pacific_Islander_Total","Unk_Race_Total","Other_Race_Total","Hispanic_Total","Hispanic_Partial_Vax","Hispanic_Full_Vax","Population","County_Pct_Dose_1","County_Pct_Dose_2","White_Partial_Pct","Black_Partial_Pct","Asian_Partial_Pct","Non_Hispanic_Partial_Pct","Non_Hispanic_Full_Pct","Full_Pct"
"1",2021-10-15,"Missing",344032,209063,126342,205,71893,137170,223807,0,46244,0,1312,6814,0,1057,39078,25720,22730,0,0,0,0,0,0,0,0,0,0,Inf
"2",2021-10-15,"Howard",12542,7000,5456,0,910,6090,8081,47.1,2396,51.6,55,55,17.9,14,994,947,917,7,37,10888,64.3,50.1,5.4,7.8,5.5,0,48.3,55.9%
"3",2021-10-15,"Pulaski",386139,200858,164632,173,25519,175339,214838,49.2,102762,38.6,1290,9234,33.8,381,23261,34373,20023,11,53.5,330989,60.7,49.7,5.8,6.1,7.5,6,52.9,53.0%
"4",2021-10-15,"Lonoke",63906,34330,28450,14,4156,30174,51884,43.9,3849,45.7,150,620,14.9,61,4571,2771,2245,6,43.1,61242,56.1,46.5,5.5,6.5,1,4,43.5,49.3%
"5",2021-10-15,"Prairie",6337,3604,2648,6,715,2889,5112,38.5,797,44.7,7,15,14.3,2,281,123,117,12,49.1,6949,51.9,38.1,8.5,13.1,0,17,38.9,41.6%
"6",2021-10-15,"Desha",11630,6490,4984,9,1081,5409,5760,54.9,4807,49.2,18,73,25,6,382,584,684,12,58.5,9520,68.2,52.4,9.6,11.1,0,0,53.2,56.8%
"7",2021-10-15,"Phillips",15444,8487,6851,0,1190,7297,5669,48.3,8665,45.4,8,48,6.1,3,639,412,375,14,68,14714,57.7,46.6,6.9,7.3,1.5,1,32,49.6%
"8",2021-10-15,"Searcy",5754,3056,2614,2,349,2707,4871,34.5,21,20.8,11,4,3.4,1,673,173,210,33,41.1,6887,44.4,38,3.7,4.2,1.7,0,10.7,39.3%
"9",2021-10-15,"Independence",28887,15894,12452,17,2503,13391,25890,39.8,523,28.9,66,394,11,32,686,1296,1178,10,30.6,31722,50.1,39.3,6.9,7.2,4.9,12,50.1,42.2%
"10",2021-10-15,"Jackson",12424,6640,5406,5,1031,5609,9973,38.4,1535,27.1,21,31,7.1,17,435,412,343,14,37.3,14500,45.8,37.3,6.9,5,3.6,6,20.8,38.7%
"11",2021-10-15,"Mississippi",28750,15958,12433,10,2576,13382,17207,37.3,8057,31.7,60,180,18.8,17,2250,979,918,8,31.8,33683,47.4,36.9,6.1,7.1,1.3,7,51.7,39.7%
"12",2021-10-15,"Greene",37926,19725,16474,9,2626,17099,33758,41.3,415,29,33,154,5.7,59,1868,1639,857,11,38.1,38118,51.7,43.2,5.9,5.5,3.2,12,33.6,44.9%
"13",2021-10-15,"Clay",12569,6482,5522,4,720,5762,11089,41.3,61,21,2,13,1.4,1,1081,322,125,5,22.7,12543,51.7,44,4.7,6.5,0,5,17.5,45.9%
"14",2021-10-15,"Randolph",13611,7707,5697,3,1449,6258,11912,38.1,92,20.8,14,62,7.9,128,482,921,231,12,36.4,15146,50.9,37.6,7.5,5.8,0,15,30.4,41.3%
"15",2021-10-15,"Lawrence",14422,7900,6238,2,1333,6567,13335,44.5,96,21.5,24,43,10.5,12,628,284,193,11,41.3,14051,56.2,44.4,8.4,5,4.2,4,56.3,46.7%
"16",2021-10-15,"Baxter",35930,18615,15967,17,1944,16671,30629,39.2,96,19.6,93,200,14.7,15,3475,1422,682,4,37.3,37221,50,42.9,4,4.1,1,7,46.8,44.8%
"17",2021-10-15,"Marion",10495,5667,4578,0,676,4991,8819,29.3,23,10.3,18,16,4.9,7,1287,325,255,5,39.1,14723,38.5,31.1,3.6,0.9,1.9,1,13.9,33.9%
"18",2021-10-15,"Perry",10144,5390,4532,3,612,4778,9051,49.9,177,40.9,8,18,2.5,1,630,259,206,9,38.5,8917,60.4,50.8,5.6,6.3,5,7,18.2,53.6%
"19",2021-10-15,"Jefferson",55428,31707,21749,128,8503,23204,23847,42.6,27022,34.2,188,593,26.2,70,1478,2230,1044,13,42.3,57304,55.3,38,12.2,14.6,21,17,48.4,40.5%
"20",2021-10-15,"Washington",233531,127869,97946,70,19819,108050,171657,44.2,6118,36.1,1721,5154,23.3,5591,14248,29042,40878,12,60.8,200760,63.7,48.8,7.3,7.7,3.6,12,45.6,53.8%
"21",2021-10-15,"Crawford",51174,28045,22298,8,3734,24311,42027,40.2,672,29.6,400,908,12,24,3948,3195,3079,7,36.5,53333,52.6,41.8,5.8,5.2,2.6,6,45.4,45.6%
"22",2021-10-15,"Little River",6739,3749,2903,0,559,3190,4329,25.1,1412,31.4,23,125,6.6,3,580,267,298,4,43.3,10486,35.8,27.7,4.1,5.8,0,9,117.9,30.4%
"23",2021-10-15,"Miller",11521,6633,4835,3,1438,5195,6338,10.7,2822,13.9,25,76,4.2,7,1563,690,547,5,21.8,36531,18.2,13.2,2.7,3.9,0.6,2,16.3,14.2%
"24",2021-10-15,"Lafayette",4306,2351,1939,0,312,2039,2250,29.2,1803,40.9,7,28,8.8,2,160,56,57,2,19.6,5854,40.2,33.1,3.6,6.2,2.9,6,40,34.8%
"25",2021-10-15,"Columbia",19061,10686,8194,5,2041,8645,10048,36.2,6560,41.5,28,175,11.2,4,1377,869,602,17,52.8,20211,52.9,40.5,7.5,9.6,1.6,14,40.3,42.8%
"26",2021-10-15,"Union",27006,15061,11667,0,2466,12595,14734,32.3,8008,35.3,54,205,12.7,40,1362,2603,1215,12,47.4,32555,46.3,35.8,5.2,6.9,4.2,12,43.1,38.7%
"27",2021-10-15,"Ashley",17699,9520,7957,5,1195,8325,11467,43.3,4640,53.3,13,37,5.1,11,628,903,1263,12,68.1,16780,56.7,47.4,5.7,7.1,0,2,37.1,49.6%
